name,price,image_URL,product_URL,review,luot_mua,description
"Ấm siêu tốc thủy tinh",95.000đ,https://down-vn.img.susercontent.com/file/vn-11134207-7qukw-lk29wqex553623,https://shope.ee/9pEVDGMyJ9,⭐⭐⭐⭐⭐,112,"Ấm siêu tốc 1,8L có thể dùng để pha trà, cà phê, nấu mì. Tự động ngắt điện khi sôi. Chất liệu thủy tinh sang trọng, đảm bảo sức khỏe"
"Nồi lẩu điện mini",114.000đ,https://down-vn.img.susercontent.com/file/vn-11134207-7qukw-lhpobotvc70l2b,https://shope.ee/5V5W3O6B5w,⭐⭐⭐⭐⭐,11238,"Nấu mì, lẩu, các món kho và luộc, cháo, hâm nóng thức ăn, đun nước... Thiết kế an toàn, dễ vệ sinh. Có tặng kèm khay hấp"
"Máy xay mini",73.000đ,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lkls3u2n2b568e,https://shope.ee/6fHTRbhuaL,⭐⭐⭐⭐⭐,49586,"Nhỏ gọn, xay thịt cá rau củ, tỏi ớt, trái cây chỉ với một nút bấm"
"Nồi cơm điện mini",169.000đ,https://down-vn.img.susercontent.com/file/vn-11134207-7qukw-lio1o2iie3ma6b,https://shope.ee/2flKgJiKAv,⭐⭐⭐⭐⭐,9840,"Nhỏ gọn, tiện dụng, phù hợp với nhà 1-2 người"
"Máy đánh trứng cầm tay",99.000đ,https://salt.tikicdn.com/cache/280x280/ts/product/6e/0a/45/7fa5b58df08f37d9ccfab249ffc18bc2.jpg,https://shope.ee/2VRuUFqEiH,⭐⭐⭐⭐⭐,495647,"Đánh trứng xốp, tạo bọt mịn cho cà phê, kem tươi, và nhiều loại nguyên liệu khác"
"Bếp từ đơn Sunhouse",850.000đ,https://down-vn.img.susercontent.com/file/cc79b68fefba34133388feea9c06c684,https://shope.ee/1fsnUnDrOq,⭐⭐⭐⭐⭐,8955,"8 chế độ nấu cài đặt sẵn, phù hợp cho mọi nhu cầu nấu nướng"
"Quạt để bàn mini",279.000đ,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-llq693j7cmvzc0,https://shope.ee/4VCys3sS7W,⭐⭐⭐⭐⭐,438,"Quạt chạy êm, không gây ồn. Nút điều khiển cơ. Thiết kế nhỏ gọn, tiết kiệm không gian"
"Máy nướng bánh mì sandwich",299.000đ,https://down-vn.img.susercontent.com/file/vn-11134201-7r98o-lktixvk9tznk23,https://shope.ee/4VCys6VRrM,⭐⭐⭐⭐⭐,10380,"Máy kẹp nướng bánh mì nướng nhanh, chín đều, có thể nướng 4 lát bánh chỉ trong vòng 3-5 phút"
"Khăn giấy rút treo tường",35.000đ,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lmispjsjdlnjdd,https://shope.ee/4fWP4RlfpF,⭐⭐⭐⭐⭐,103874,"Một bịch gồm 1280 tờ. Có thể dùng lau tay, miệng sau ăn, lau mồ hồi, thấm dầu mỡ, lau các bề mặt bàn ghế. Thiết kế treo tường tiện lợi"
"Cân tiểu ly điện tử",149.000đ,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-loj62vg63l4n76,https://shope.ee/40GiHGrGIy,⭐⭐⭐⭐⭐,1058,"Giúp đo lường tỉ mỉ mọi thành phần từ gia vị đến chất lỏng, hỗ trợ cho việc chế biến món ăn và pha chế đồ uống một cách hoàn hảo"
